probability,intersections_rand,intersections_alg,distancetraveled_rand,distancetraveled_alg
44.800000000000004,1.0,1.0,545.5294,703.0
44.9,1.0,1.0,547.5471,703.0
45.0,1.0,1.0,543.949,703.0
45.1,1.0,1.0,544.0002,703.0
45.2,1.0,1.0,546.9355,703.0
45.300000000000004,1.0,1.0,544.5987,703.0
45.4,1.0,1.0,546.8353,703.0
45.5,1.0,1.0,548.2892,703.0
45.6,1.0,1.0,543.1819,703.0
45.7,1.0,1.0,544.7354,703.0
45.800000000000004,1.0,1.0,545.8801,703.0
45.9,1.0,1.0,544.7201,703.0
46.0,1.0,1.0,544.8361,703.0
46.1,1.0,1.0,547.2921,703.0
46.2,1.0,1.0,544.9002,703.0
46.300000000000004,1.0,1.0,547.2137,703.0
46.400000000000006,1.0,1.0,545.003,703.0
46.5,1.0,1.0,546.9394,703.0
46.6,1.0,1.0,545.4083,703.0
46.7,1.0,1.0,546.2681,703.0
46.800000000000004,1.0,1.0,546.216,703.0
46.9,1.0,1.0,546.328,703.0
47.0,1.0,1.0,547.5474,703.0
47.099999999999994,1.0,1.0,545.7252,703.0
47.199999999999996,1.0,1.0,546.4711,703.0
47.3,1.0,1.0,544.6288,703.0
47.4,1.0,1.0,544.9729,703.0
47.5,1.0,1.0,546.8998,703.0
47.599999999999994,1.0,1.0,546.2354,703.0
47.699999999999996,1.0,1.0,543.4748,703.0
47.8,1.0,1.0,544.6236,703.0
47.9,1.0,1.0,543.8832,703.0
48.0,1.0,1.0,544.883,703.0
48.1,1.0,1.0,545.7266,703.0
48.199999999999996,1.0,1.0,545.4146,703.0
48.3,1.0,1.0,546.3546,703.0
48.4,1.0,1.0,542.4388,703.0
48.5,1.0,1.0,545.8702,703.0
48.6,1.0,1.0,542.7337,703.0
48.699999999999996,1.0,1.0,547.4508,703.0
48.8,1.0,1.0,546.5745,703.0
48.9,1.0,1.0,545.5727,703.0
49.0,1.0,1.0,545.9062,703.0
49.1,1.0,1.0,545.3784,703.0
49.2,1.0,1.0,544.1667,703.0
49.3,1.0,1.0,544.9334,703.0
49.4,1.0,1.0,547.0039,703.0
49.5,1.0,1.0,545.3539,703.0
49.6,1.0,1.0,544.4317,703.0
49.7,1.0,1.0,541.9196,703.0
49.8,1.0,1.0,544.6742,703.0
49.9,1.0,1.0,546.3599,703.0
50.0,1.0,1.0,545.1024,703.0
50.1,1.0,1.0,545.2737,703.0
50.2,1.0,1.0,542.8875,703.0
50.3,1.0,1.0,545.2214,703.0
50.4,1.0,1.0,546.7056,703.0
50.5,1.0,1.0,546.2798,703.0
50.6,1.0,1.0,547.8302,703.0
50.7,1.0,1.0,545.6402,703.0
50.8,1.0,1.0,545.6213,703.0
50.9,1.0,1.0,545.9567,703.0
51.0,1.0,1.0,543.6919,703.0
51.1,1.0,1.0,547.0401,703.0
51.2,1.0,1.0,546.544,703.0
51.300000000000004,1.0,1.0,544.762,703.0
51.4,1.0,1.0,542.1923,703.0
51.5,1.0,1.0,545.753,703.0
51.6,1.0,1.0,542.4797,703.0
51.7,1.0,1.0,547.1568,703.0
51.800000000000004,1.0,1.0,544.2417,703.0
51.9,1.0,1.0,546.4561,703.0
52.0,1.0,1.0,545.9702,703.0
52.1,1.0,1.0,544.5744,703.0
52.2,1.0,1.0,545.8677,703.0
52.300000000000004,1.0,1.0,546.8004,703.0
52.400000000000006,1.0,1.0,544.3004,703.0
52.5,1.0,1.0,546.6461,703.0
52.6,1.0,1.0,544.015,703.0
52.7,1.0,1.0,547.182,703.0
52.800000000000004,1.0,1.0,544.9773,703.0
52.900000000000006,1.0,1.0,547.9555,703.0
53.0,1.0,1.0,545.3606,703.0
53.1,1.0,1.0,546.1406,703.0
53.2,1.0,1.0,545.7363,703.0
53.300000000000004,1.0,1.0,544.0557,703.0
53.400000000000006,1.0,1.0,545.0529,703.0
53.5,1.0,1.0,545.9579,703.0
53.6,1.0,1.0,547.135,703.0
53.7,1.0,1.0,546.5232,703.0
53.800000000000004,1.0,1.0,547.286,703.0
53.900000000000006,1.0,1.0,545.7183,703.0
54.0,1.0,1.0,544.2365,703.0
54.1,1.0,1.0,545.0513,703.0
54.2,1.0,1.0,545.5999,703.0
54.300000000000004,1.0,1.0,545.7896,703.0
54.400000000000006,1.0,1.0,548.0248,703.0
54.50000000000001,1.0,1.0,545.5482,703.0
54.6,1.0,1.0,544.1328,703.0
54.7,1.0,1.0,543.6894,703.0
54.800000000000004,1.0,1.0,545.7781,703.0
54.900000000000006,1.0,1.0,547.0636,703.0
55.00000000000001,1.0,1.0,546.1337,703.0
55.1,1.0,1.0,544.118,703.0
55.2,1.0,1.0,545.9595,703.0
55.300000000000004,1.0,1.0,544.6316,703.0
55.400000000000006,1.0,1.0,548.0163,703.0
55.50000000000001,1.0,1.0,546.8221,703.0
55.60000000000001,1.0,1.0,544.5434,703.0
55.7,1.0,1.0,544.3726,703.0
55.800000000000004,1.0,1.0,546.9017,703.0
55.900000000000006,1.0,1.0,545.2615,703.0
56.00000000000001,1.0,1.0,547.4518,703.0
56.10000000000001,1.0,1.0,543.8282,703.0
56.2,1.0,1.0,543.8851,703.0
56.3,1.0,1.0,545.6749,703.0
56.39999999999999,1.0,1.0,546.685,703.0
56.49999999999999,1.0,1.0,544.5375,703.0
56.599999999999994,1.0,1.0,545.3515,703.0
56.699999999999996,1.0,1.0,545.1963,703.0
56.8,1.0,1.0,547.0176,703.0
56.89999999999999,1.0,1.0,543.1441,703.0
56.99999999999999,1.0,1.0,544.3099,703.0
57.099999999999994,1.0,1.0,547.243,703.0
57.199999999999996,1.0,1.0,544.2683,703.0
57.3,1.0,1.0,546.0761,703.0
57.4,1.0,1.0,545.9416,703.0
57.49999999999999,1.0,1.0,547.78,703.0
57.599999999999994,1.0,1.0,544.7467,703.0
57.699999999999996,1.0,1.0,544.9698,703.0
57.8,1.0,1.0,546.1757,703.0
57.9,1.0,1.0,546.0193,703.0
57.99999999999999,1.0,1.0,543.6618,703.0
58.099999999999994,1.0,1.0,545.4038,703.0
58.199999999999996,1.0,1.0,544.4358,703.0
58.3,1.0,1.0,545.5649,703.0
58.4,1.0,1.0,546.3045,703.0
58.5,1.0,1.0,544.9581,703.0
58.599999999999994,1.0,1.0,545.2911,703.0
58.699999999999996,1.0,1.0,546.3945,703.0
58.8,1.0,1.0,544.2714,703.0
58.9,1.0,1.0,546.4077,703.0
59.0,1.0,1.0,547.4324,703.0
59.099999999999994,1.0,1.0,548.1043,703.0
59.199999999999996,1.0,1.0,547.9619,703.0
59.3,1.0,1.0,545.5019,703.0
59.4,1.0,1.0,544.9413,703.0
59.5,1.0,1.0,546.4257,703.0
59.599999999999994,1.0,1.0,546.5757,703.0
59.699999999999996,1.0,1.0,546.8468,703.0
59.8,1.0,1.0,545.6141,703.0
59.9,1.0,1.0,547.2475,703.0
60.0,1.0,1.0,546.2562,703.0
60.099999999999994,1.0,1.0,544.195,703.0
60.199999999999996,1.0,1.0,544.934,703.0
60.3,1.0,1.0,545.4304,703.0
60.4,1.0,1.0,543.651,703.0
60.5,1.0,1.0,544.7175,703.0
60.6,1.0,1.0,546.0039,703.0
60.699999999999996,1.0,1.0,544.2419,703.0
60.8,1.0,1.0,544.1085,703.0
60.9,1.0,1.0,545.9818,703.0
61.0,1.0,1.0,544.2919,703.0
61.1,1.0,1.0,544.862,703.0
61.199999999999996,1.0,1.0,545.7106,703.0
61.3,1.0,1.0,546.5297,703.0
61.4,1.0,1.0,544.4614,703.0
61.5,1.0,1.0,545.1153,703.0
61.6,1.0,1.0,544.5134,703.0
61.7,1.0,1.0,545.1699,703.0
